,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
2904,,,molluscs,,,,n,EN5356,an,no,inclusive
2905,,,fairy,,,,n,EN2457,or,no,conservative
2906,,,avian dinosaur,,,,n,EN7855,asm,no,inclusive
2907,,,uncouthness,,,,n,EN1432,pa,yes,conservative
2908,,,grungies,,,,n,EN3112,cds,no,inclusive
2909,,,slovenly woman,,,,n,EN910,pr,no,conservative
2910,,,booby,,,,n,EN878,ps,yes,conservative
2911,,,slimy,,,,a,EN1784,ddf,yes,conservative
2912,,,attorney,,,,n,EN795,pa,yes,inclusive
2913,,,brownish,,,,a,EN7089,asm,no,inclusive
2914,,,idiotes,,,,n,EN1922,asm,no,inclusive
2915,,,african american,,,,n,EN6203,ps,yes,inclusive
2916,,,rambunctious,,,,a,EN8003,re,no,conservative
2917,,,yorkshire leicester,,,,n,EN5924,an,no,inclusive
2918,,,gull,,,,n,EN859,ps,yes,conservative
2919,,,b. oleracea,,,,n,EN2274,or,no,inclusive
2920,,,gyps fulvus,,,,n,EN4303,an,no,inclusive
2921,,,micro-organismical,,,,n,EN5849,an,no,inclusive
2922,,,crumb,,,,n,EN1696,an,no,conservative
2923,,,impertinence,,,,n,EN1996,cds,no,conservative
2924,,,unctuous,,,,a,EN7093,cds,no,conservative
2925,,,bluestocking,,,,n,EN856,cds,no,inclusive
2926,,,work-shy,,,,a,EN5017,svp,no,conservative
2927,,,birds,,,,n,EN7859,asm,no,inclusive
2928,,,vaingloriousness,,,,n,EN1684,svp,no,conservative
2929,,,faggy,,,,n,EN2452,om,no,conservative
2930,,,trenchermen,,,,n,EN3391,svp,no,conservative
2931,,,dome,,,,n,EN487,or,no,inclusive
2932,,,תפוח-אדמה,,,,n,EN6733,or,no,inclusive
2933,,,anal stimulation,,,,n,EN266,om,no,inclusive
2934,,,scurvy,,,,a,EN7555,dmc,yes,conservative
2935,,,materialistic,,,,a,EN1585,qas,no,inclusive
2936,,,truncatiramus,,,,n,EN3664,an,no,inclusive
2937,,,hee-haw,,,,v,EN6662,an,no,inclusive
2938,,,fishwife,,,,n,EN3877,pa,yes,inclusive
2939,,,baron,,,,n,EN831,qas,no,inclusive
2940,,,wrathfully,,,,n,EN5206,svp,no,inclusive
2941,,,parochial,,,,a,EN4765,is,yes,conservative
2942,,,cuckolds,,,,n,EN1356,an,no,conservative
2943,,,cocksure,,,,a,EN6918,svp,no,conservative
2944,,,swell,,,,n,EN984,cds,no,inclusive
2945,,,knats,,,,n,EN4220,an,no,inclusive
2946,,,paramour,,,,n,EN2953,pr,no,inclusive
2947,,,gnurd,,,,n,EN5439,cds,no,conservative
2948,,,indigent,,,,n,EN4870,is,yes,inclusive
2949,,,miserliness,,,,n,EN612,an,no,conservative
2950,,,jokester,,,,n,EN4955,cds,no,inclusive
2951,,,self-love,,,,n,EN188,svp,no,conservative
2952,,,boy craziest,,,,n,EN6242,cds,no,conservative
2953,,,churls,,,,n,EN740,dmc,yes,conservative
2954,,,crack ho,,,,n,EN4426,pr,no,inclusive
2955,,,lecherousness,,,,n,EN5003,svp,no,inclusive
2956,,,gentleman-farmer,,,,n,EN3807,qas,no,inclusive
2957,,,judaic,,,,n,EN4566,ps,yes,inclusive
2958,,,lazybones,,,,n,EN5011,svp,no,conservative
2959,,,métèques,,,,n,EN5277,ps,yes,inclusive
2960,,,tabaeen,,,,n,EN291,qas,no,inclusive
2961,,,beduin,,,,n,EN1017,ps,yes,inclusive
2962,,,hybridization event,,,,n,EN2750,ps,yes,inclusive
2963,,,jesters,,,,n,EN3921,cds,no,inclusive
2964,,,latrines,,,,n,EN5337,cds,no,inclusive
2965,,,mystifiedly,,,,n,EN2928,dmc,yes,conservative
2966,,,loan sharking,,,,n,EN5083,cds,no,inclusive
2967,,,sleuthhound,,,,n,EN7540,qas,no,inclusive
2968,,,over eating,,,,n,EN4657,svp,no,inclusive
2969,,,puzzler,,,,n,EN5986,cds,no,conservative
2970,,,amoralization,,,,n,EN3623,dmc,yes,inclusive
2971,,,gallus domesticus,,,,n,EN7022,an,no,inclusive
2972,,,theoretical,,,,a,EN132,pa,yes,inclusive
2973,,,immoralizes,,,,n,EN3646,dmc,yes,inclusive
2974,,,animals,,,,n,EN420,ddp,yes,inclusive
2975,,,microorganism,,,,n,EN5850,an,no,inclusive
2976,,,subnormal,,,,a,EN7550,ddp,yes,conservative
2977,,,parasitize,,,,n,EN5633,qas,no,inclusive
2978,,,quarter-caste,,,,n,EN5821,ps,yes,conservative
2979,,,superbia,,,,n,EN5751,cds,no,inclusive
2980,,,tribeswomen,,,,n,EN2117,cds,no,inclusive
2981,,,bisons,,,,n,EN1131,an,no,inclusive
2982,,,stupidity,,,,n,EN496,ddp,yes,conservative
2983,,,bos primigenius taurus,,,,n,EN1471,pr,no,inclusive
2984,,,theft,,,,n,EN4368,re,no,inclusive
2985,,,have sex,,,,v,EN4284,asm,no,conservative
2986,,,incriminating,,,,n,EN3016,cds,no,inclusive
2987,,,cattle,,,,n,EN1455,an,no,inclusive
2988,,,fall guy,,,,n,EN857,asm,no,conservative
2989,,,bonehead,,,,n,EN527,ddp,yes,conservative
2990,,,buccal organs,,,,n,EN6183,an,no,inclusive
2991,,,boycraziness,,,,n,EN6214,cds,no,conservative
2992,,,capridae,,,,n,EN4237,an,no,inclusive
2993,,,chiena,,,,n,EN4716,an,no,inclusive
2994,,,mongoloids,,,,n,EN6005,ps,yes,conservative
2995,,,conceitedness,,,,n,EN1682,svp,no,conservative
2996,,,ordre de felicite,,,,n,EN3985,cds,no,inclusive
2997,,,nursling,,,,n,EN5443,cds,no,inclusive
2998,,,putting to death,,,,n,EN6465,re,no,inclusive
2999,,,selachimorpha,,,,n,EN5834,an,no,inclusive
3000,,,hooking,,,,n,EN4441,pr,no,inclusive
3001,,,lance-duffardar,,,,n,EN2409,pa,yes,inclusive
3002,,,academic,,,,n,EN122,pa,yes,inclusive
3003,,,blockhead,,,,n,EN532,ddp,yes,conservative
3004,,,it's a conspiracy,,,,n,EN7954,cds,no,inclusive
3005,,,jesuit,,,,a,EN7456,pa,yes,inclusive
3006,,,regressivism,,,,n,EN4251,cds,no,conservative
3007,,,mugging,,,,n,EN7245,re,no,inclusive
3008,,,romany,,,,n,EN8221,ps,yes,inclusive
3009,,,physiognomist,,,,n,EN2508,an,no,inclusive
3010,,,vanagloria,,,,n,EN1685,cds,no,conservative
3011,,,stupidety,,,,n,EN5947,asm,no,conservative
3012,,,complacence,,,,n,EN2220,cds,no,inclusive
3013,,,abaction,,,,n,EN5265,cds,no,inclusive
3014,,,ne'er-do-wells,,,,n,EN1102,re,no,conservative
3015,,,negroids,,,,n,EN6143,ps,yes,inclusive
3016,,,scribbler,,,,n,EN4959,cds,no,conservative
3017,,,mac,,,,n,EN3757,cds,no,conservative
3018,,,animate being,,,,n,EN421,an,no,inclusive
3019,,,potater,,,,n,EN6758,or,no,inclusive
3020,,,extortion,,,,n,EN3831,re,no,inclusive
3021,,,crop selection,,,,n,EN2757,ps,yes,inclusive
3022,,,differently-abled,,,,n,EN4802,ddf,yes,inclusive
3023,,,office workers,,,,n,EN7785,pa,yes,inclusive
3024,,,inexorability,,,,n,EN4922,an,no,conservative
3025,,,lascivious,,,,n,EN5451,svp,no,inclusive
3026,,,dissipated,,,,a,EN7526,dmc,yes,conservative
3027,,,7 death sins,,,,n,EN595,svp,no,inclusive
3028,,,nonsensal,,,,n,EN4842,ddp,yes,conservative
3029,,,mozzarella,,,,n,EN5411,dmc,yes,inclusive
3030,,,v. faba,,,,n,EN4105,asm,no,inclusive
3031,,,medial,,,,n,EN3240,om,no,inclusive
3032,,,shrink,,,,v,EN6837,cds,no,inclusive
3033,,,last man,,,,n,EN7664,asm,no,inclusive
3034,,,teaser,,,,n,EN5987,cds,no,conservative
3035,,,doormat,,,,n,EN1881,an,no,conservative
3036,,,egotistic,,,,a,EN7104,svp,no,conservative
3037,,,chesty,,,,a,EN6920,cds,no,conservative
3038,,,cunts,,,,n,EN2825,asf,no,conservative
3039,,,usurious,,,,n,EN6516,cds,no,inclusive
3040,,,paprazzi,,,,n,EN5602,cds,no,inclusive
3041,,,prison warden,,,,n,EN4174,cds,no,inclusive
3042,,,comare,,,,n,EN3780,pr,no,conservative
3043,,,procurer,,,,n,EN3741,cds,no,conservative
3044,,,mason,,,,n,EN3952,cds,no,inclusive
3045,,,hypersexualities,,,,n,EN6313,cds,no,conservative
3046,,,criminator,,,,n,EN3027,cds,no,inclusive
3047,,,redfish,,,,n,EN7518,an,no,inclusive
3048,,,r@pe,,,,n,EN456,re,no,conservative
3049,,,dorsal,,,,n,EN3343,om,no,inclusive
3050,,,sexo-æsthetic inversion,,,,n,EN7832,om,no,inclusive
3051,,,waeringoopterus,,,,n,EN3659,an,no,inclusive
3052,,,gormandize,,,,n,EN3376,svp,no,inclusive
3053,,,fops,,,,n,EN980,cds,no,inclusive
3054,,,slanderers,,,,n,EN1962,re,no,inclusive
3055,,,pilfer,,,,v,EN7348,re,no,inclusive
